ResNet,CNN,ProtoNet,Proposed
0.0424,0.0442,0.0412,0.0414
0.0461,0.0444,0.0413,0.0429
0.0459,0.0445,0.0432,0.0459
0.0542,0.0519,0.0461,0.0545
0.0779,0.0665,0.0601,0.0681
0.132,0.1139,0.0942,0.0912
0.1827,0.1778,0.1266,0.1587
0.2292,0.2416,0.1642,0.2542
0.3175,0.3296,0.2219,0.3171
0.413,0.4309,0.2943,0.4168
0.5253,0.5252,0.3443,0.5391
0.6101,0.6098,0.3764,0.6598
0.7136,0.7017,0.3941,0.7822
0.816,0.7835,0.4028,0.8793
0.8739,0.8246,0.406,0.9319
0.898,0.8396,0.4075,0.9482
0.906,0.8463,0.4144,0.9552
0.9074,0.846,0.4156,0.9561
0.907,0.8477,0.4146,0.955
0.9094,0.8451,0.4131,0.9576
0.9107,0.8483,0.4165,0.9574
