ResNet,CNN,ProtoNet,Proposed
0.0381,0.0415,0.0405,0.041953366
0.04,0.0416,0.0423,0.042603213
0.0419,0.0417,0.0424,0.042526761
0.0417,0.0417,0.0408,0.041207953
0.0411,0.0419,0.0425,0.042412082
0.044,0.0415,0.0458,0.043654437
0.0441,0.0416,0.0608,0.049541287
0.0447,0.0418,0.1077,0.082415907
0.062,0.0917,0.1688,0.169667441
0.25,0.318,0.2508,0.341112404
0.5316,0.5508,0.3346,0.530428165
0.6125,0.6594,0.3842,0.644495447
0.7131,0.7774,0.4112,0.749808909
0.7983,0.8788,0.4185,0.835569615
0.8371,0.921,0.4211,0.87878445
0.8525,0.9326,0.4219,0.889220228
0.8582,0.9361,0.4257,0.890558148
0.8601,0.9351,0.4266,0.888321911
0.8599,0.9332,0.4259,0.891857843
0.8616,0.9339,0.4243,0.892775275
0.8604,0.9307,0.4292,0.891169768
