ResNet,CNN,ProtoNet,Proposed
0.041,0.0415,0.0404,0.041991592
0.0426,0.0414,0.0412,0.041972479
0.0416,0.0412,0.0409,0.040653672
0.0399,0.0416,0.0421,0.040443427
0.0392,0.0412,0.0418,0.041724008
0.0353,0.0414,0.0435,0.042737005
0.0357,0.0413,0.0542,0.048490064
0.0399,0.0425,0.0949,0.06630352
0.0426,0.0425,0.1626,0.136716368
0.1767,0.089,0.2386,0.286620811
0.5393,0.5038,0.3249,0.528402171
0.6366,0.6067,0.3863,0.651529087
0.7455,0.6933,0.4151,0.777924354
0.8398,0.7599,0.4339,0.877255398
0.9029,0.7951,0.4395,0.930084151
0.9324,0.8223,0.4434,0.945890723
0.9426,0.8271,0.4465,0.951758456
0.9452,0.8258,0.4502,0.955542858
0.9479,0.8213,0.4475,0.956192706
0.9504,0.8203,0.4506,0.958734751
0.9518,0.8192,0.453,0.958581848
